kod;warp;tip;deger;tarih;cip;cm;en;gr;Comp;A1;A11;A111;A1111;A2;A22;A222;A2222;A3;A33;A333;A3333;A4;A44;A444;A4444;A5;A55;A555;A5555;A6;A66;A666;A6666;A7;A77;A777;A7777;A8;A88;A888;A8888;PÇ;P2;P2B;P2F;P3;P3B;P3F;P4;P4B;P4F;P5;P5B;P5F;P6;P6B;P6F;P7;P7B;P7F;P8;P8B;P8F;P9;P9B;P9F;P10;P10B;P10F;SAT_A;SAT_B;SAT_C;SAT_D;SAT_E;SAT_F;SAT_G;SAT_H;SAT_I;SAT_J;SAT_K
120024;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;164m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;133 gr;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120027;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;164m²;;300/96 DEN PES FDY PARLAK RENKLÝ;140;24;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;140;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;133 gr;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120028;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;164m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;133 gr;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120030;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;118m²;;300/96 DEN PES TEX PARLAK;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120034;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;164m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;12;24;;300/96 DEN PES FDY PARLAK RENKLÝ;12;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;133 gr;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120035;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;118m²;;300/96 DEN PES TEX PARLAK;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120037;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;210m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;480;24;;300 DEN FDY RENKLÝ;480;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;265 gr;0,98 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120039;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;118m²;;300/96 DEN PES TEX PARLAK;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120041;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;118m²;;300/96 DEN PES TEX PARLAK;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120044;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;210m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;170;24;;300 DEN FDY RENKLÝ;170;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;265 gr;0,98 $;APRE;0,80  $;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;
120045;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;118m²;;300/96 DEN PES TEX PARLAK;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120046;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;164m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;133 gr;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120047;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;164m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;133 gr;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120048;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;118m²;;300/96 DEN PES TEX PARLAK;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120051;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;118m²;;300/96 DEN PES TEX PARLAK;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120054;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;118m²;;300/96 DEN PES TEX PARLAK;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120056;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;164m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;12;24;;300/96 DEN PES FDY PARLAK RENKLÝ;12;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;133 gr;0,49 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120058;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;118m²;;300/96 DEN PES TEX PARLAK;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120059;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;210m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;480;24;;300 DEN FDY RENKLÝ;480;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;265 gr;0,98 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120060;CZ00034d;TFT60;;12.01.25;(034d) TAFTA 60'lý 150 Turlu;24,0/cm;290cm;118m²;;300/96 DEN PES TEX PARLAK;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;REGÜLE;0,028 $;0,67 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;000 gr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122012;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;38,0/cm;;;;20/1 NE BAMBOO ÝPLÝK;752;38;;20/1 NE BAMBOO ÝPLÝK;752;38;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;391 gr;;SERBEST KURUTMA;0,00  $;;;;;;;;;;;;;;;;;;;;;;;;;;;
122013;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;38,0/cm;;;;20/1 NE BAMBOO ÝPLÝK;532;38;;20/1 NE BAMBOO ÝPLÝK;532;38;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;391 gr;;SERBEST KURUTMA;0,00  $;;;;;;;;;;;;;;;;;;;;;;;;;;;
122022;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;38,0/cm;;;;20/1 NE BAMBOO ÝPLÝK;1072;38;;20/1 NE BAMBOO ÝPLÝK;1072;38;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;391 gr;;SERBEST KURUTMA;0,00  $;;;;;;;;;;;;;;;;;;;;;;;;;;;
122025;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;38,0/cm;;;;20/1 NE BAMBOO ÝPLÝK;848;38;;20/1 NE BAMBOO ÝPLÝK;848;38;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;391 gr;;SERBEST KURUTMA;0,00  $;;;;;;;;;;;;;;;;;;;;;;;;;;;
122037;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;38,0/cm;;;;20/1 NE BAMBOO ÝPLÝK;800;38;;20/1 NE BAMBOO ÝPLÝK;800;38;;MAT TAKVÝYESÝZ SÝM;800;38;;;;;;;;;;;;;;;;;;;;;;% 58;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;302 gr;;KESME;0,12  $;0,12 $; SERBEST KURUTMA;  $;;;;;;;;;;;;;;;;;;;;;;;;
122039;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;38,0/cm;;;;20/1 NE BAMBOO ÝPLÝK;1352;38;;20/1 NE BAMBOO ÝPLÝK;1352;38;;MAT TAKVÝYESÝZ SÝM;1352;38;;;;;;;;;;;;;;;;;;;;;;% 58;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;302 gr;;KESME;0,12  $;0,12 $; SERBEST KURUTMA;  $;;;;;;;;;;;;;;;;;;;;;;;;
122044;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;32,0/cm;;;;8/1 NE PAMUK (TELEFLÝ);560;32;;150 DEN ÇEKEN ;187;32;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;658 gr;1,27 $;ÇEKEN APRE;1,00  $;0,92 $;;;;;;;;;;;;;;;;;;;;;;;;;;
122045;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;40,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1360;40;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1360;40;;150 DEN ÇEKEN ;907;40;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;404 gr;1,50 $;SERBEST KURUTMA;0,00  $;;;;;;;;;;;;;;;;;;;;;;;;;;;
123456;CZ00137;DNR10;;12.01.25;(137) DÖNER 10'lý 150 IMG Raporlu;24,6/cm;305cm;108m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;500;20;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;400;22;;300/96 DEN PES FDY PARLAK;300;20;;28/1 NE VÝSKON;200;15;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;400;22;;300/96 DEN PES FDY PARLAK;400;22;;;;;;;;;;% 14;REGÜLE;0,028 $;0,69 $;ÇÖZGÜ ÝPLÝK;082 gr;0,19 $;ATKI ÝPLÝK;247 gr;0,79 $;HAÞIL SÖKME ;  $;; ÇÝFT BOYA;  $;;;;;;;;;;;;;;;;;;;;;;;;
123457;CZ00014g;DNR20;3,30$;12.01.25;(014g) DÖNER 20'li 70/800;25,4/cm;305cm;100m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;500;20;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;400;22;;300/96 DEN PES FDY PARLAK;300;20;;28/1 NE VÝSKON;200;15;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;400;22;;300/96 DEN PES FDY PARLAK;400;22;;;;;;;;;;% 10;JAKAR;0,050 $;1,27 $;ÇÖZGÜ ÝPLÝK;051 gr;0,16 $;ATKI ÝPLÝK;254 gr;0,82 $;ZIMPARA;0,05  $;0,05 $;TEK BOYA;1,80  $;0,53 $;YANMAZLIK;1,00  $;0,29 $;;;;;;;;;;;;;;;;;;;;
123458;CZ00028;IMG60;;12.01.25;(028) IMG 60'lý 100 IMG;28,5/cm;305cm;222m²;;300/96 DEN PES FDY PARLAK;460;19;;600 DEN 1152 F MÝCRO;230;R;60;;;;;;;;;;;;;;;;;;;;;;;;;% 9;DEVERE; $;;ÇÖZGÜ ÝPLÝK;231 gr;0,47 $;ATKI ÝPLÝK;445 gr;0,91 $;ATKI ÝPLÝK;0,00  $;;KESME;0,12  $;0,12 $;ANGORA;1,80  $;1,06 $;YANMAZLIK;1,00  $;0,59 $;;;;;;;;;;;;;;;;;
130063;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;43,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1080;43;;300 DEN FDY RENKLÝ;1080;43;;300 DEN ÇEKEN ;540;43;;;;;;;;;;;;;;;;;;;;;;% 5;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;396 gr;1,47 $;ÇEKEN APRE;1,00  $;0,66 $;;;;;;;;;;;;;;;;;;;;;;;;;;
130072;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;81,6/cm;;;;150 DEN 48 F TEKS TURSUZ;600;80;;150 DEN 48 F TEKS TURSUZ;600;80;;150 DEN 48 F TEKS TURSUZ;600;80;;150 DEN 48 F TEKS TURSUZ;860;86;;150 DEN 48 F TEKS TURSUZ;100;80;;300 DEN ÇEKEN ;300;80;;;;;;;;;;% 3;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;430 gr;0,93 $;ÇEKEN APRE;1,00  $;0,69 $;;;;;;;;;;;;;;;;;;;;;;;;;;
130074;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;81,1/cm;;;;150 DEN 48 F TEKS TURSUZ;600;80;;150 DEN 48 F TEKS TURSUZ;600;80;;150 DEN 48 F TEKS TURSUZ;600;80;;150 DEN 48 F TEKS TURSUZ;520;86;;150 DEN 48 F TEKS TURSUZ;100;80;;300 DEN ÇEKEN ;300;80;;;;;;;;;;% 4;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;421 gr;0,91 $;ÇEKEN APRE;1,00  $;0,68 $;;;;;;;;;;;;;;;;;;;;;;;;;;
130094;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;40,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1480;40;;150 DEN ÇEKEN ;370;40;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;415 gr;1,54 $;ÇEKEN APRE;1,00  $;0,68 $;;;;;;;;;;;;;;;;;;;;;;;;;;
130097;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;35,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;800;35;;150 DEN ÇEKEN ;200;35;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;364 gr;1,35 $;ÇEKEN APRE;1,00  $;0,62 $;;;;;;;;;;;;;;;;;;;;;;;;;;
130100;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;40,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1440;40;;150 DEN ÇEKEN ;360;40;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;415 gr;1,54 $;ÇEKEN APRE;1,00  $;0,68 $;;;;;;;;;;;;;;;;;;;;;;;;;;
130137;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;520;34;;300 DEN ÇEKEN ;520;34;;;260;34;;;;;;;;;;;;;;;;;;;;;;% 5;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;157 gr;0,58 $;APRE;0,80  $;0,33 $;;;;;;;;;;;;;;;;;;;;;;;;;;
130143;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;38,0/cm;;;;300 DEN FDY RENKLÝ;743;38;;300 DEN FDY RENKLÝ;817;38;;150 DEN ÇEKEN ;390;38;;310 DEN SÝM KESÝKELYAF;412;38;;;;;;;;;;;;;;;;;;% 27;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;405 gr;1,21 $;ÇEKEN APRE;1,00  $;0,67 $;;;;;;;;;;;;;;;;;;;;;;;;;;
130153;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;32,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1080;32;;300 DEN FDY RENKLÝ;1080;32;;300 DEN ÇEKEN ;540;32;;;;;;;;;;;;;;;;;;;;;;% 5;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;295 gr;1,09 $;ÇEKEN APRE;1,00  $;0,56 $;;;;;;;;;;;;;;;;;;;;;;;;;;
130167;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;32,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;800;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;544;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;256;32;;300 DEN ÇEKEN ;400;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;248;32;;;;;;;;;;;;;;% 97;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;303 gr;1,12 $;ÇEKEN APRE;1,00  $;0,56 $;;;;;;;;;;;;;;;;;;;;;;;;;;
130203;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;63,0/cm;;;;150 DEN 48 F TEKS TURSUZ;440;63;;150 DEN 48 F TEKS TURSUZ;440;63;;150 DEN 48 F TEKS TURSUZ;440;63;;150 DEN ÇEKEN ;220;63;;;;;;;;;;;;;;;;;;% 5;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;368 gr;0,88 $;ÇEKEN APRE;1,00  $;0,63 $;;;;;;;;;;;;;;;;;;;;;;;;;;
130204;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;37,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1440;37;;150 DEN ÇEKEN ;360;37;;PARLAK TAKVÝYESÝZ SÝM;230;37;;;;;;;;;;;;;;;;;;;;;;% 18;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;354 gr;1,39 $;KESME;0,12  $;0,12 $; ÇEKEN APRE;  $;;;;;;;;;;;;;;;;;;;;;;;;
130205;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;47,0/cm;;;;300 DEN FDY RENKLÝ;1520;47;;28/2 NE POLY - VÝSKON;760;47;;300 DEN ÇEKEN ;380;47;;;;;;;;;;;;;;;;;;;;;;% 5;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;505 gr;2,43 $;ÇEKEN APRE;1,00  $;0,77 $;;;;;;;;;;;;;;;;;;;;;;;;;;
130206;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;52,0/cm;;;;30/2 NE KESÝKELYAF;1200;52;;300 DEN FDY RENKLÝ;1200;52;;30/2 NE KESÝKELYAF;1200;52;;300 DEN ÇEKEN ;600;52;;;;;;;;;;;;;;;;;;% 5;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;575 gr;0,63 $;ÇEKEN APRE;1,00  $;0,84 $;;;;;;;;;;;;;;;;;;;;;;;;;;
130210;CZ00015;TFT90;;12.01.25;(015) TAFTA 90'lý;27,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;27;27;;300/96 DEN PES FDY PARLAK RENKLÝ;27;27;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;156 gr;0,58 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130212;CZ00034;TFT60;;12.01.25;(034) TAFTA 60'lý 150 Turlu;24,0/cm;300cm;165m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;138 gr;0,51 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130213;CZ00034;TFT60;;12.01.25;(034) TAFTA 60'lý 150 Turlu;24,0/cm;300cm;165m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;138 gr;0,51 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130214;CZ00034;TFT60;;12.01.25;(034) TAFTA 60'lý 150 Turlu;24,0/cm;300cm;165m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;138 gr;0,51 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130215;CZ00034;TFT60;;12.01.25;(034) TAFTA 60'lý 150 Turlu;24,0/cm;300cm;165m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;138 gr;0,51 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130217;CZ00034;TFT60;;12.01.25;(034) TAFTA 60'lý 150 Turlu;24,0/cm;300cm;165m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;138 gr;0,51 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130218;CZ00034;TFT60;;12.01.25;(034) TAFTA 60'lý 150 Turlu;24,0/cm;300cm;165m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;138 gr;0,51 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130219;CZ00034;TFT60;;12.01.25;(034) TAFTA 60'lý 150 Turlu;24,0/cm;300cm;165m²;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;24;24;;300/96 DEN PES FDY PARLAK RENKLÝ;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;DOKUMA; $;;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;138 gr;0,51 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
